section,item,value
shape,labels.csv rows,552.0
shape,labels.csv columns,6.0
shape,clinical_features.csv rows,552.0
shape,clinical_features.csv columns,53.0
shape,ml_dataset.csv rows,552.0
shape,ml_dataset.csv columns,58.0
labels_class_distribution,Normal,354.0
labels_class_distribution,Suspicious,171.0
labels_class_distribution,Pathological,27.0
ml_dataset_class_distribution,Normal,354.0
ml_dataset_class_distribution,Suspicious,171.0
ml_dataset_class_distribution,Pathological,27.0
missing_values,record_id,0.0
missing_values,recording_duration_minutes,0.0
missing_values,percent_missing_fhr,0.0
missing_values,longest_missing_fhr_gap_seconds,0.0
missing_values,valid_fhr_percentage,0.0
missing_values,possible_fhr_artifact_percentage,0.0
missing_values,feature_quality_flag,0.0
missing_values,mean_fhr,0.0
missing_values,median_fhr,0.0
missing_values,min_fhr,0.0
missing_values,max_fhr,0.0
missing_values,std_fhr,0.0
missing_values,baseline_fhr,0.0
missing_values,short_term_variability,0.0
missing_values,long_term_variability,0.0
missing_values,acceleration_count,0.0
missing_values,mean_acceleration_duration_seconds,0.0
missing_values,max_acceleration_amplitude,0.0
missing_values,deceleration_count,0.0
missing_values,mean_deceleration_duration_seconds,0.0
missing_values,max_deceleration_depth,0.0
missing_values,mean_uc,0.0
missing_values,median_uc,0.0
missing_values,max_uc,0.0
missing_values,std_uc,0.0
missing_values,contraction_count,0.0
missing_values,mean_contraction_peak,0.0
missing_values,mean_contraction_interval_seconds,0.0
missing_values,decelerations_per_contraction,0.0
missing_values,bradycardia_duration_seconds,0.0
missing_values,bradycardia_percentage,0.0
missing_values,tachycardia_duration_seconds,0.0
missing_values,tachycardia_percentage,0.0
missing_values,acceleration_density_per_hour,0.0
missing_values,longest_acceleration_duration_seconds,0.0
missing_values,deceleration_density_per_hour,0.0
missing_values,longest_deceleration_duration_seconds,0.0
missing_values,percentage_time_below_baseline,0.0
missing_values,percentage_time_above_baseline,0.0
missing_values,baseline_drift_std,0.0
missing_values,baseline_drift_range,0.0
missing_values,contraction_interval_std_seconds,0.0
missing_values,contraction_frequency_per_hour,0.0
missing_values,contractions_followed_by_deceleration_percentage,0.0
missing_values,mean_delay_contraction_to_deceleration_seconds,0.0
missing_values,baseline_crossing_count,0.0
missing_values,mean_positive_fhr_slope,0.0
missing_values,mean_negative_fhr_slope,0.0
missing_values,maximum_negative_fhr_slope,0.0
missing_values,segment_stv_mean,0.0
missing_values,segment_stv_std,0.0
missing_values,segment_ltv_mean,0.0
missing_values,segment_ltv_std,0.0
missing_values,pH,0.0
missing_values,BE,11.0
missing_values,BDecf,11.0
missing_values,Apgar5,0.0
missing_values,label,0.0
important_feature_min,baseline_fhr,102.0
important_feature_max,baseline_fhr,181.25
important_feature_mean,baseline_fhr,137.9615036231884
important_feature_std,baseline_fhr,12.36066185364115
important_feature_min,short_term_variability,0.3116341246050393
important_feature_max,short_term_variability,1.4812080318143297
important_feature_mean,short_term_variability,0.6405721509531581
important_feature_std,short_term_variability,0.22055264461757818
important_feature_min,long_term_variability,2.9701539478097216
important_feature_max,long_term_variability,34.509942821694544
important_feature_mean,long_term_variability,12.991925922495055
important_feature_std,long_term_variability,4.6218698605096735
important_feature_min,acceleration_count,0.0
important_feature_max,acceleration_count,24.0
important_feature_mean,acceleration_count,2.608695652173913
important_feature_std,acceleration_count,2.7521574644961997
important_feature_min,deceleration_count,0.0
important_feature_max,deceleration_count,29.0
important_feature_mean,deceleration_count,4.7101449275362315
important_feature_std,deceleration_count,4.320554677287369
important_feature_min,contraction_count,0.0
important_feature_max,contraction_count,36.0
important_feature_mean,contraction_count,15.748188405797102
important_feature_std,contraction_count,6.981437429462412
important_feature_min,decelerations_per_contraction,0.0
important_feature_max,decelerations_per_contraction,6.0
important_feature_mean,decelerations_per_contraction,0.3942703621472015
important_feature_std,decelerations_per_contraction,0.6079926962207413
