fold_number,repeat_number,fold_within_repeat,train_patient_count,test_patient_count,model,scaled_features,preprocessing,accuracy,balanced_accuracy,macro_f1,weighted_f1,confusion_matrix,false_pathological_predictions,true_pathological_detections,normal_recall,normal_precision,normal_f1,pathological_recall,pathological_precision,pathological_f1,suspicious_recall,suspicious_precision,suspicious_f1
1,1,1,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.5585585585585585,0.4254862508383635,0.40806960806960807,0.5855035909089964,"[[46, 5, 20], [0, 1, 4], [13, 7, 15]]",12,1,0.647887323943662,0.7796610169491526,0.7076923076923077,0.2,0.07692307692307693,0.1111111111111111,0.42857142857142855,0.38461538461538464,0.40540540540540543
1,1,1,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6036036036036037,0.37250167672702883,0.3723536737235367,0.5965803911009391,"[[55, 0, 16], [2, 0, 3], [18, 5, 12]]",5,0,0.7746478873239436,0.7333333333333333,0.7534246575342466,0.0,0.0,0.0,0.34285714285714286,0.3870967741935484,0.36363636363636365
1,1,1,441,111,XGBoost,False,median imputation -> training-only SMOTE,0.6126126126126126,0.42951039570757876,0.4198787300888742,0.60027829567933,"[[57, 1, 13], [1, 1, 3], [20, 5, 10]]",6,1,0.8028169014084507,0.7307692307692307,0.7651006711409396,0.2,0.14285714285714285,0.16666666666666666,0.2857142857142857,0.38461538461538464,0.32786885245901637
1,1,1,441,111,LightGBM,False,median imputation -> training-only SMOTE,0.6036036036036037,0.4199865861837693,0.4166666666666667,0.5833333333333334,"[[57, 1, 13], [1, 1, 3], [23, 3, 9]]",4,1,0.8028169014084507,0.7037037037037037,0.75,0.2,0.2,0.2,0.2571428571428571,0.36,0.3
1,1,1,441,111,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.5765765765765766,0.4107310529845741,0.4095720720720721,0.5656653274896518,"[[53, 1, 17], [2, 1, 2], [22, 3, 10]]",4,1,0.7464788732394366,0.6883116883116883,0.7162162162162162,0.2,0.2,0.2,0.2857142857142857,0.3448275862068966,0.3125
2,1,2,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.6396396396396397,0.5932062966031483,0.5401133040935672,0.6570279160739686,"[[47, 5, 19], [1, 3, 2], [9, 4, 21]]",9,3,0.6619718309859155,0.8245614035087719,0.734375,0.5,0.25,0.3333333333333333,0.6176470588235294,0.5,0.5526315789473685
2,1,2,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6576576576576577,0.5974868820767744,0.56473795406529,0.6668037082267301,"[[50, 4, 17], [1, 3, 2], [12, 2, 20]]",6,3,0.704225352112676,0.7936507936507936,0.746268656716418,0.5,0.3333333333333333,0.4,0.5882352941176471,0.5128205128205128,0.547945205479452
2,1,2,441,111,XGBoost,False,median imputation -> training-only SMOTE,0.6216216216216216,0.568489367578017,0.5438252751685587,0.630429195979821,"[[48, 2, 21], [2, 3, 1], [13, 3, 18]]",5,3,0.676056338028169,0.7619047619047619,0.7164179104477612,0.5,0.375,0.42857142857142855,0.5294117647058824,0.45,0.4864864864864865
2,1,2,441,111,LightGBM,False,median imputation -> training-only SMOTE,0.6576576576576577,0.5923777961888981,0.5786267213089012,0.6616637363728606,"[[51, 2, 18], [3, 3, 0], [13, 2, 19]]",4,3,0.7183098591549296,0.7611940298507462,0.7391304347826086,0.5,0.42857142857142855,0.46153846153846156,0.5588235294117647,0.5135135135135135,0.5352112676056338
2,1,2,441,111,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6576576576576577,0.5568443339777226,0.5651486158948845,0.662205948773113,"[[49, 1, 21], [3, 2, 1], [11, 1, 22]]",2,2,0.6901408450704225,0.7777777777777778,0.7313432835820896,0.3333333333333333,0.5,0.4,0.6470588235294118,0.5,0.5641025641025641
3,1,3,442,110,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.5727272727272728,0.49234360410831,0.47828588734100547,0.5867975331754859,"[[43, 2, 25], [1, 2, 3], [13, 3, 18]]",5,2,0.6142857142857143,0.7543859649122807,0.6771653543307087,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.5294117647058824,0.391304347826087,0.45
3,1,3,442,110,Random Forest,False,median imputation -> training-only SMOTE,0.6636363636363637,0.5298786181139122,0.5256410256410257,0.6608391608391608,"[[55, 2, 13], [3, 2, 1], [15, 3, 16]]",5,2,0.7857142857142857,0.7534246575342466,0.7692307692307693,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.47058823529411764,0.5333333333333333,0.5
3,1,3,442,110,XGBoost,False,median imputation -> training-only SMOTE,0.6272727272727273,0.4549953314659197,0.45868608302915637,0.6233482801334962,"[[53, 1, 16], [3, 1, 2], [16, 3, 15]]",4,1,0.7571428571428571,0.7361111111111112,0.7464788732394366,0.16666666666666666,0.2,0.18181818181818182,0.4411764705882353,0.45454545454545453,0.44776119402985076
3,1,3,442,110,LightGBM,False,median imputation -> training-only SMOTE,0.5727272727272728,0.3554621848739496,0.3518769787426504,0.5643024546688048,"[[52, 0, 18], [2, 0, 4], [19, 4, 11]]",4,0,0.7428571428571429,0.7123287671232876,0.7272727272727273,0.0,0.0,0.0,0.3235294117647059,0.3333333333333333,0.3283582089552239
3,1,3,442,110,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6727272727272727,0.5090569561157796,0.5224458204334366,0.671080776808331,"[[52, 1, 17], [1, 1, 4], [13, 0, 21]]",1,1,0.7428571428571429,0.7878787878787878,0.7647058823529411,0.16666666666666666,0.5,0.25,0.6176470588235294,0.5,0.5526315789473685
4,1,4,442,110,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.5818181818181818,0.4595139464236399,0.43713995977775505,0.6054642833901961,"[[44, 6, 21], [1, 1, 3], [11, 4, 19]]",10,1,0.6197183098591549,0.7857142857142857,0.6929133858267716,0.2,0.09090909090909091,0.125,0.5588235294117647,0.4418604651162791,0.4935064935064935
4,1,4,442,110,Random Forest,False,median imputation -> training-only SMOTE,0.6090909090909091,0.4531621099143883,0.46602310732745517,0.6061451394455348,"[[51, 1, 19], [3, 1, 1], [18, 1, 15]]",2,1,0.7183098591549296,0.7083333333333334,0.7132867132867133,0.2,0.3333333333333333,0.25,0.4411764705882353,0.42857142857142855,0.43478260869565216
4,1,4,442,110,XGBoost,False,median imputation -> training-only SMOTE,0.6181818181818182,0.4578569455951395,0.4711328976034858,0.6138888888888888,"[[52, 1, 18], [3, 1, 1], [18, 1, 15]]",2,1,0.7323943661971831,0.7123287671232876,0.7222222222222222,0.2,0.3333333333333333,0.25,0.4411764705882353,0.4411764705882353,0.4411764705882353
4,1,4,442,110,LightGBM,False,median imputation -> training-only SMOTE,0.6454545454545455,0.471941452637393,0.4956333790927943,0.6376872973683442,"[[55, 0, 16], [2, 1, 2], [18, 1, 15]]",1,1,0.7746478873239436,0.7333333333333333,0.7534246575342466,0.2,0.5,0.2857142857142857,0.4411764705882353,0.45454545454545453,0.44776119402985076
4,1,4,442,110,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6454545454545455,0.49237779618889815,0.5110135829560289,0.6453522755681029,"[[51, 1, 19], [2, 1, 2], [15, 0, 19]]",1,1,0.7183098591549296,0.75,0.7338129496402878,0.2,0.5,0.2857142857142857,0.5588235294117647,0.475,0.5135135135135135
5,1,5,442,110,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.6181818181818182,0.4578569455951395,0.45892255892255895,0.6157483930211204,"[[52, 2, 17], [4, 1, 0], [17, 2, 15]]",4,1,0.7323943661971831,0.7123287671232876,0.7222222222222222,0.2,0.2,0.2,0.4411764705882353,0.46875,0.45454545454545453
5,1,5,442,110,Random Forest,False,median imputation -> training-only SMOTE,0.7,0.5205468102734051,0.5292198415486088,0.6947853668401615,"[[57, 3, 11], [3, 1, 1], [15, 0, 19]]",3,1,0.8028169014084507,0.76,0.7808219178082192,0.2,0.25,0.2222222222222222,0.5588235294117647,0.6129032258064516,0.5846153846153846
