random_seed,train_patient_count,test_patient_count,model,scaled_features,preprocessing,accuracy,balanced_accuracy,macro_f1,weighted_f1,confusion_matrix,false_pathological_predictions,true_pathological_detections,normal_recall,normal_precision,normal_f1,pathological_recall,pathological_precision,pathological_f1,suspicious_recall,suspicious_precision,suspicious_f1
0,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.5585585585585585,0.43390407806315007,0.4215773809523809,0.5753177284427284,"[[43, 3, 25], [2, 1, 3], [12, 4, 18]]",7,1,0.6056338028169014,0.7543859649122807,0.671875,0.16666666666666666,0.125,0.14285714285714285,0.5294117647058824,0.391304347826087,0.45
0,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6216216216216216,0.4514406701647795,0.45475113122171945,0.6191016191016191,"[[53, 2, 16], [2, 1, 3], [17, 2, 15]]",4,1,0.7464788732394366,0.7361111111111112,0.7412587412587412,0.16666666666666666,0.2,0.18181818181818182,0.4411764705882353,0.4411764705882353,0.4411764705882353
0,441,111,XGBoost,False,median imputation -> training-only SMOTE,0.5675675675675675,0.41816257019239617,0.4174603174603175,0.5701415701415702,"[[48, 3, 20], [3, 1, 2], [18, 2, 14]]",5,1,0.676056338028169,0.6956521739130435,0.6857142857142857,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.4117647058823529,0.3888888888888889,0.4
0,441,111,LightGBM,False,median imputation -> training-only SMOTE,0.5855855855855856,0.42244315566602225,0.422979797979798,0.5827532077532077,"[[51, 3, 17], [3, 1, 2], [19, 2, 13]]",5,1,0.7183098591549296,0.6986301369863014,0.7083333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.38235294117647056,0.40625,0.3939393939393939
0,441,111,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6126126126126126,0.47229126392340975,0.4667561692878149,0.6204207659903863,"[[47, 2, 22], [2, 1, 3], [12, 2, 20]]",4,1,0.6619718309859155,0.7704918032786885,0.7121212121212122,0.16666666666666666,0.2,0.18181818181818182,0.5882352941176471,0.4444444444444444,0.5063291139240507
1,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.5675675675675675,0.47413237595507685,0.45914786967418547,0.5804240330556121,"[[46, 1, 24], [2, 2, 2], [14, 5, 15]]",6,2,0.647887323943662,0.7419354838709677,0.6917293233082706,0.3333333333333333,0.25,0.2857142857142857,0.4411764705882353,0.36585365853658536,0.4
1,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6036036036036037,0.37586302126484394,0.3698097340481446,0.5826507680812316,"[[55, 0, 16], [5, 0, 1], [20, 2, 12]]",2,0,0.7746478873239436,0.6875,0.7284768211920529,0.0,0.0,0.0,0.35294117647058826,0.41379310344827586,0.38095238095238093
1,441,111,XGBoost,False,median imputation -> training-only SMOTE,0.6306306306306306,0.3950566141949738,0.391440575375632,0.6113577794842482,"[[57, 0, 14], [5, 0, 1], [18, 3, 13]]",3,0,0.8028169014084507,0.7125,0.7549668874172185,0.0,0.0,0.0,0.38235294117647056,0.4642857142857143,0.41935483870967744
1,441,111,LightGBM,False,median imputation -> training-only SMOTE,0.6306306306306306,0.3899475283070975,0.38553350589588725,0.6086599973571502,"[[58, 0, 13], [4, 0, 2], [19, 3, 12]]",3,0,0.8169014084507042,0.7160493827160493,0.7631578947368421,0.0,0.0,0.0,0.35294117647058826,0.4444444444444444,0.39344262295081966
1,441,111,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6216216216216216,0.45654975605265574,0.47599231754161336,0.6167595252102294,"[[52, 0, 19], [3, 1, 2], [17, 1, 16]]",1,1,0.7323943661971831,0.7222222222222222,0.7272727272727273,0.16666666666666666,0.5,0.25,0.47058823529411764,0.43243243243243246,0.4507042253521127
